id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
574358;1276067;45304;sábado;0,291666667;RS;290;91,2;PORTO ALEGRE;Sim;Manobra de mudança de faixa;3;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;1022999;Automóvel;NISSAN/MARCH 16SL CVT;2019;Condutor;Ileso;28;Masculino;1;0;0;0;-29,96961785;-51,16972983;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
574358;1276068;45304;sábado;0,291666667;RS;290;91,2;PORTO ALEGRE;Sim;Manobra de mudança de faixa;3;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;1023000;Motocicleta;HONDA/CB 300R;2011;Condutor;Lesões Leves;42;Masculino;0;1;0;0;-29,96961785;-51,16972983;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
574358;1276067;45304;sábado;0,291666667;RS;290;91,2;PORTO ALEGRE;Sim;Manobra de mudança de faixa;2;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;1022999;Automóvel;NISSAN/MARCH 16SL CVT;2019;Condutor;Ileso;28;Masculino;1;0;0;0;-29,96961785;-51,16972983;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
574358;1276068;45304;sábado;0,291666667;RS;290;91,2;PORTO ALEGRE;Sim;Manobra de mudança de faixa;2;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;1023000;Motocicleta;HONDA/CB 300R;2011;Condutor;Lesões Leves;42;Masculino;0;1;0;0;-29,96961785;-51,16972983;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
574358;1276067;45304;sábado;0,291666667;RS;290;91,2;PORTO ALEGRE;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;1022999;Automóvel;NISSAN/MARCH 16SL CVT;2019;Condutor;Ileso;28;Masculino;1;0;0;0;-29,96961785;-51,16972983;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
574358;1276068;45304;sábado;0,291666667;RS;290;91,2;PORTO ALEGRE;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;1023000;Motocicleta;HONDA/CB 300R;2011;Condutor;Lesões Leves;42;Masculino;0;1;0;0;-29,96961785;-51,16972983;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
575096;1277977;45307;terça-feira;0,548611111;RS;290;102;PORTO ALEGRE;Não;Ingestão de álcool pelo condutor;1;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Múltipla;"Aclive;Ponte;Reta";Não;1024359;Caminhão;FORD/CARGO 1418;1987;Condutor;Ileso;43;Masculino;1;0;0;0;-29,987228;-51,25613;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
575096;1277976;45307;terça-feira;0,548611111;RS;290;102;PORTO ALEGRE;Não;Ingestão de álcool pelo condutor;1;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Múltipla;"Aclive;Ponte;Reta";Não;1024358;Caminhão-trator;IMP/INTERNATIONAL;1997;Condutor;Ileso;56;Masculino;1;0;0;0;-29,987228;-51,25613;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
575096;1277977;45307;terça-feira;0,548611111;RS;290;102;PORTO ALEGRE;Sim;Ausência de reação do condutor;1;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Múltipla;"Aclive;Ponte;Reta";Não;1024359;Caminhão;FORD/CARGO 1418;1987;Condutor;Ileso;43;Masculino;1;0;0;0;-29,987228;-51,25613;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
575096;1277976;45307;terça-feira;0,548611111;RS;290;102;PORTO ALEGRE;Sim;Ausência de reação do condutor;1;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Múltipla;"Aclive;Ponte;Reta";Não;1024358;Caminhão-trator;IMP/INTERNATIONAL;1997;Condutor;Ileso;56;Masculino;1;0;0;0;-29,987228;-51,25613;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
575550;1279208;45309;quinta-feira;0,760416667;RS;290;94;PORTO ALEGRE;Sim;Acumulo de óleo sobre o pavimento;2;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Curva;Não;1025331;Motoneta;YAMAHA/NMAX 160;2022;Condutor;Lesões Leves;21;Masculino;0;1;0;0;-29,97392377;-51,19768381;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
575550;1279207;45309;quinta-feira;0,760416667;RS;290;94;PORTO ALEGRE;Sim;Acumulo de óleo sobre o pavimento;2;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Curva;Não;1025331;Motoneta;YAMAHA/NMAX 160;2022;Passageiro;Lesões Leves;55;Feminino;0;1;0;0;-29,97392377;-51,19768381;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
575550;1279208;45309;quinta-feira;0,760416667;RS;290;94;PORTO ALEGRE;Sim;Acumulo de óleo sobre o pavimento;1;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Curva;Não;1025331;Motoneta;YAMAHA/NMAX 160;2022;Condutor;Lesões Leves;21;Masculino;0;1;0;0;-29,97392377;-51,19768381;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
575550;1279207;45309;quinta-feira;0,760416667;RS;290;94;PORTO ALEGRE;Sim;Acumulo de óleo sobre o pavimento;1;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Curva;Não;1025331;Motoneta;YAMAHA/NMAX 160;2022;Passageiro;Lesões Leves;55;Feminino;0;1;0;0;-29,97392377;-51,19768381;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
575740;1279664;45310;sexta-feira;0,659722222;RS;290;95;PORTO ALEGRE;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Sim;1025709;Motocicleta;HONDA/POP 110I;2022;Condutor;Lesões Leves;44;Masculino;0;1;0;0;-29,982832;-51,201572;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
575740;1279665;45310;sexta-feira;0,659722222;RS;290;95;PORTO ALEGRE;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Sim;1025710;Automóvel;RENAULT/SANDERO EXPR 10;2014;Condutor;Ileso;40;Masculino;1;0;0;0;-29,982832;-51,201572;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576106;1280361;45312;domingo;0,135416667;RS;290;85;PORTO ALEGRE;Sim;Manobra de mudança de faixa;1;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Nublado;Múltipla;Reta;Não;1026271;Automóvel;FORD/FIESTA 1.6 FLEX;2012;Condutor;Ileso;44;Feminino;1;0;0;0;-29,9656054;-51,10067368;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576106;1280363;45312;domingo;0,135416667;RS;290;85;PORTO ALEGRE;Sim;Manobra de mudança de faixa;1;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Nublado;Múltipla;Reta;Não;1026271;Automóvel;FORD/FIESTA 1.6 FLEX;2012;Passageiro;Ileso;43;Masculino;1;0;0;0;-29,9656054;-51,10067368;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576106;1280360;45312;domingo;0,135416667;RS;290;85;PORTO ALEGRE;Sim;Manobra de mudança de faixa;1;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Nublado;Múltipla;Reta;Não;1026274;Caminhonete;MMC/L200 TRITON 3.2 D;2009;Condutor;Ileso;40;Masculino;1;0;0;0;-29,9656054;-51,10067368;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576303;1280903;45312;domingo;0,944444444;RS;290;86;PORTO ALEGRE;Sim;Ausência de reação do condutor;2;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Múltipla;Reta;Sim;1026647;Motocicleta;HONDA/CG 150 TITAN KS;2004;Condutor;Lesões Leves;33;Masculino;0;1;0;0;-29,968412;-51,117138;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576303;1280904;45312;domingo;0,944444444;RS;290;86;PORTO ALEGRE;Sim;Ausência de reação do condutor;2;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Múltipla;Reta;Sim;1026649;Automóvel;I/FORD FIESTA SE;2011;Condutor;Ileso;63;Feminino;1;0;0;0;-29,968412;-51,117138;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576303;1280903;45312;domingo;0,944444444;RS;290;86;PORTO ALEGRE;Sim;Ausência de reação do condutor;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Múltipla;Reta;Sim;1026647;Motocicleta;HONDA/CG 150 TITAN KS;2004;Condutor;Lesões Leves;33;Masculino;0;1;0;0;-29,968412;-51,117138;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576303;1280904;45312;domingo;0,944444444;RS;290;86;PORTO ALEGRE;Sim;Ausência de reação do condutor;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Múltipla;Reta;Sim;1026649;Automóvel;I/FORD FIESTA SE;2011;Condutor;Ileso;63;Feminino;1;0;0;0;-29,968412;-51,117138;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576329;1280982;45313;segunda-feira;0,208333333;RS;290;86;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;1;Saída de leito carroçável;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Simples;Curva;Não;1026705;Automóvel;GM/CORSA SEDAN;2002;Passageiro;Ileso;35;Feminino;1;0;0;0;-29,968412;-51,117138;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576329;1280979;45313;segunda-feira;0,208333333;RS;290;86;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;1;Saída de leito carroçável;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Simples;Curva;Não;1026705;Automóvel;GM/CORSA SEDAN;2002;Condutor;Ileso;41;Feminino;1;0;0;0;-29,968412;-51,117138;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576331;1280980;45313;segunda-feira;0,1875;RS;290;86;PORTO ALEGRE;Sim;Demais falhas mecânicas ou elétricas;1;Incêndio;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;Curva;Não;1026704;Automóvel;VW/GOLF;2000;Condutor;Não Informado;NA;Não Informado;0;0;0;0;-29,968412;-51,117138;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;1281506;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;6;Queda de ocupante de veículo;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027097;Motocicleta;YAMAHA/YBR150 FACTOR ED;2023;Condutor;Lesões Leves;48;Masculino;0;1;0;0;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;1281507;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;6;Queda de ocupante de veículo;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027098;Caminhão-trator;SCANIA/T113 H 4X2 320;1995;Condutor;Ileso;32;Masculino;1;0;0;0;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;NA;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;6;Queda de ocupante de veículo;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027099;Semireboque;SR/RANDON SR CA;2005;NA;NA;NA;NA;NA;NA;NA;NA;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;1281508;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;6;Queda de ocupante de veículo;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027100;Motocicleta;HONDA/NXR160 BROS ESDD;2018;Condutor;Óbito;43;Feminino;0;0;0;1;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;1281509;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;6;Queda de ocupante de veículo;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027101;Caminhão-trator;IVECO/CURSOR 450E33T;2010;Condutor;Ileso;57;Masculino;1;0;0;0;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;NA;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;6;Queda de ocupante de veículo;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027102;Semireboque;SR/GUERRA AG SI;2012;NA;NA;NA;NA;NA;NA;NA;NA;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;1281983;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;6;Queda de ocupante de veículo;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027103;Automóvel;Não Informado/Não Informado;0;Condutor;Não Informado;NA;Não Informado;0;0;0;0;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;1281506;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;5;Tombamento;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027097;Motocicleta;YAMAHA/YBR150 FACTOR ED;2023;Condutor;Lesões Leves;48;Masculino;0;1;0;0;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;1281507;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;5;Tombamento;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027098;Caminhão-trator;SCANIA/T113 H 4X2 320;1995;Condutor;Ileso;32;Masculino;1;0;0;0;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;NA;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;5;Tombamento;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027099;Semireboque;SR/RANDON SR CA;2005;NA;NA;NA;NA;NA;NA;NA;NA;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;1281508;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;5;Tombamento;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027100;Motocicleta;HONDA/NXR160 BROS ESDD;2018;Condutor;Óbito;43;Feminino;0;0;0;1;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;1281509;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;5;Tombamento;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027101;Caminhão-trator;IVECO/CURSOR 450E33T;2010;Condutor;Ileso;57;Masculino;1;0;0;0;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;NA;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;5;Tombamento;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027102;Semireboque;SR/GUERRA AG SI;2012;NA;NA;NA;NA;NA;NA;NA;NA;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;1281983;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;5;Tombamento;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027103;Automóvel;Não Informado/Não Informado;0;Condutor;Não Informado;NA;Não Informado;0;0;0;0;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;1281506;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;4;Engavetamento;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027097;Motocicleta;YAMAHA/YBR150 FACTOR ED;2023;Condutor;Lesões Leves;48;Masculino;0;1;0;0;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;1281507;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;4;Engavetamento;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027098;Caminhão-trator;SCANIA/T113 H 4X2 320;1995;Condutor;Ileso;32;Masculino;1;0;0;0;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;NA;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;4;Engavetamento;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027099;Semireboque;SR/RANDON SR CA;2005;NA;NA;NA;NA;NA;NA;NA;NA;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;1281508;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;4;Engavetamento;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027100;Motocicleta;HONDA/NXR160 BROS ESDD;2018;Condutor;Óbito;43;Feminino;0;0;0;1;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
576490;1281509;45313;segunda-feira;0,805555556;RS;290;102;PORTO ALEGRE;Sim;Reação tardia ou ineficiente do condutor;4;Engavetamento;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Não;1027101;Caminhão-trator;IVECO/CURSOR 450E33T;2010;Condutor;Ileso;57;Masculino;1;0;0;0;-29,99054914;-51,2685585;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
